m,n,rounding,overflow,acc,total_bits,format
1.0,2.0,trunc,wrap,44.91,4.0,TI
1.0,2.0,stochastic,saturate,11.29,4.0,TI
1.0,2.0,stochastic,wrap,10.55,4.0,TI
1.0,3.0,nearest,saturate,98.32,5.0,TI
1.0,3.0,nearest,wrap,98.35,5.0,TI
1.0,3.0,ceil,saturate,20.13,5.0,TI
1.0,3.0,ceil,wrap,20.15,5.0,TI
1.0,3.0,floor,saturate,9.76,5.0,TI
1.0,3.0,floor,wrap,9.77,5.0,TI
1.0,3.0,trunc,saturate,96.99,5.0,TI
1.0,3.0,trunc,wrap,96.97,5.0,TI
1.0,3.0,stochastic,saturate,43.02,5.0,TI
1.0,3.0,stochastic,wrap,42.68,5.0,TI
1.0,4.0,nearest,saturate,98.43,6.0,TI
1.0,4.0,nearest,wrap,98.54,6.0,TI
1.0,4.0,ceil,saturate,33.29,6.0,TI
1.0,4.0,ceil,wrap,33.48,6.0,TI
1.0,4.0,floor,saturate,27.75,6.0,TI
1.0,4.0,floor,wrap,27.76,6.0,TI
1.0,4.0,trunc,saturate,98.48,6.0,TI
1.0,4.0,trunc,wrap,98.46,6.0,TI
1.0,4.0,stochastic,saturate,90.63,6.0,TI
1.0,4.0,stochastic,wrap,90.59,6.0,TI
1.0,5.0,nearest,saturate,98.47,7.0,TI
1.0,5.0,nearest,wrap,98.57,7.0,TI
1.0,5.0,ceil,saturate,87.24,7.0,TI
1.0,5.0,ceil,wrap,87.19,7.0,TI
1.0,5.0,floor,saturate,88.63,7.0,TI
1.0,5.0,floor,wrap,88.82,7.0,TI
1.0,5.0,trunc,saturate,98.63,7.0,TI
1.0,5.0,trunc,wrap,98.58,7.0,TI
1.0,5.0,stochastic,saturate,97.62,7.0,TI
1.0,5.0,stochastic,wrap,97.9,7.0,TI
1.0,6.0,nearest,saturate,98.51,8.0,TI
1.0,6.0,nearest,wrap,98.56,8.0,TI
1.0,6.0,ceil,saturate,97.45,8.0,TI
1.0,6.0,ceil,wrap,97.53,8.0,TI
1.0,6.0,floor,saturate,97.74,8.0,TI
1.0,6.0,floor,wrap,97.73,8.0,TI
1.0,6.0,trunc,saturate,98.61,8.0,TI
1.0,6.0,trunc,wrap,98.5,8.0,TI
1.0,6.0,stochastic,saturate,98.51,8.0,TI
1.0,6.0,stochastic,wrap,98.47,8.0,TI
1.0,7.0,nearest,saturate,98.51,9.0,TI
1.0,7.0,nearest,wrap,98.52,9.0,TI
1.0,7.0,ceil,saturate,98.31,9.0,TI
1.0,7.0,ceil,wrap,98.39,9.0,TI
1.0,7.0,floor,saturate,98.5,9.0,TI
1.0,7.0,floor,wrap,98.46,9.0,TI
1.0,7.0,trunc,saturate,98.54,9.0,TI
1.0,7.0,trunc,wrap,98.47,9.0,TI
1.0,7.0,stochastic,saturate,98.51,9.0,TI
1.0,7.0,stochastic,wrap,98.54,9.0,TI
1.0,8.0,nearest,saturate,98.57,10.0,TI
1.0,8.0,nearest,wrap,98.57,10.0,TI
1.0,8.0,ceil,saturate,98.44,10.0,TI
1.0,8.0,ceil,wrap,98.48,10.0,TI
1.0,8.0,floor,saturate,98.61,10.0,TI
1.0,8.0,floor,wrap,98.55,10.0,TI
1.0,8.0,trunc,saturate,98.54,10.0,TI
1.0,8.0,trunc,wrap,98.53,10.0,TI
1.0,8.0,stochastic,saturate,98.57,10.0,TI
1.0,8.0,stochastic,wrap,98.55,10.0,TI
2.0,0.0,nearest,saturate,9.87,3.0,TI
2.0,0.0,nearest,wrap,9.84,3.0,TI
2.0,0.0,ceil,saturate,9.8,3.0,TI
2.0,0.0,ceil,wrap,9.8,3.0,TI
2.0,0.0,floor,saturate,9.8,3.0,TI
2.0,0.0,floor,wrap,9.8,3.0,TI
2.0,0.0,trunc,saturate,9.8,3.0,TI
2.0,0.0,trunc,wrap,9.8,3.0,TI
2.0,0.0,stochastic,saturate,9.8,3.0,TI
2.0,0.0,stochastic,wrap,10.02,3.0,TI
2.0,1.0,nearest,saturate,63.08,4.0,TI
2.0,1.0,nearest,wrap,63.39,4.0,TI
2.0,1.0,ceil,saturate,9.8,4.0,TI
2.0,1.0,ceil,wrap,9.8,4.0,TI
2.0,1.0,floor,saturate,9.8,4.0,TI
2.0,1.0,floor,wrap,9.8,4.0,TI
2.0,1.0,trunc,saturate,9.81,4.0,TI
2.0,1.0,trunc,wrap,9.76,4.0,TI
2.0,1.0,stochastic,saturate,10.14,4.0,TI
2.0,1.0,stochastic,wrap,8.18,4.0,TI
2.0,2.0,nearest,saturate,97.94,5.0,TI
