m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
1,2,nearest,saturate,90.91,10000,9091,131.29998350143433,76.16147187018314
0,2,nearest,saturate,39.55,10000,3955,121.34851121902466,82.40727388859987
1,1,nearest,saturate,18.85,10000,1885,98.15639686584473,101.87823024583412
0,0,nearest,saturate,9.8,10000,980,82.13169693946838,121.75567256780373
0,1,nearest,saturate,9.8,10000,980,86.79203844070435,115.21794141097313
1,0,nearest,saturate,9.8,10000,980,84.91718935966492,117.76178740025433
