experiment,weight_m,weight_n,mem_m,mem_n,rounding,overflow,acc,total_bits
mem_only,,,1.0,0.0,floor,wrap,9.87,2
mem_only,,,1.0,0.0,ceil,saturate,98.18,2
mem_only,,,1.0,0.0,ceil,wrap,9.64,2
mem_only,,,1.0,0.0,trunc,saturate,98.37,2
mem_only,,,1.0,0.0,trunc,wrap,9.32,2
mem_only,,,1.0,1.0,nearest,saturate,98.52,3
mem_only,,,1.0,1.0,nearest,wrap,10.05,3
mem_only,,,1.0,1.0,stochastic,saturate,98.52,3
mem_only,,,1.0,1.0,stochastic,wrap,10.83,3
mem_only,,,1.0,1.0,floor,saturate,98.37,3
mem_only,,,1.0,1.0,floor,wrap,9.89,3
mem_only,,,1.0,1.0,ceil,saturate,98.54,3
mem_only,,,1.0,1.0,ceil,wrap,10.09,3
mem_only,,,1.0,1.0,trunc,saturate,98.38,3
mem_only,,,1.0,1.0,trunc,wrap,9.74,3
mem_only,,,1.0,2.0,nearest,saturate,98.51,4
mem_only,,,1.0,2.0,nearest,wrap,9.86,4
mem_only,,,1.0,2.0,stochastic,saturate,98.56,4
mem_only,,,1.0,2.0,stochastic,wrap,10.13,4
mem_only,,,1.0,2.0,floor,saturate,98.52,4
mem_only,,,1.0,2.0,floor,wrap,10.33,4
mem_only,,,1.0,2.0,ceil,saturate,98.46,4
mem_only,,,1.0,2.0,ceil,wrap,9.8,4
mem_only,,,1.0,2.0,trunc,saturate,98.52,4
mem_only,,,1.0,2.0,trunc,wrap,9.7,4
mem_only,,,1.0,3.0,nearest,saturate,98.58,5
mem_only,,,1.0,3.0,nearest,wrap,10.23,5
mem_only,,,1.0,3.0,stochastic,saturate,98.54,5
mem_only,,,1.0,3.0,stochastic,wrap,10.4,5
mem_only,,,1.0,3.0,floor,saturate,98.54,5
mem_only,,,1.0,3.0,floor,wrap,10.15,5
mem_only,,,1.0,3.0,ceil,saturate,98.58,5
mem_only,,,1.0,3.0,ceil,wrap,10.32,5
mem_only,,,1.0,3.0,trunc,saturate,98.55,5
mem_only,,,1.0,3.0,trunc,wrap,10.01,5
mem_only,,,1.0,4.0,nearest,saturate,98.59,6
mem_only,,,1.0,4.0,nearest,wrap,9.81,6
mem_only,,,1.0,4.0,stochastic,saturate,98.55,6
mem_only,,,1.0,4.0,stochastic,wrap,9.89,6
mem_only,,,1.0,4.0,floor,saturate,98.54,6
mem_only,,,1.0,4.0,floor,wrap,10.15,6
mem_only,,,1.0,4.0,ceil,saturate,98.51,6
mem_only,,,1.0,4.0,ceil,wrap,10.17,6
mem_only,,,1.0,4.0,trunc,saturate,98.55,6
mem_only,,,1.0,4.0,trunc,wrap,9.46,6
mem_only,,,1.0,5.0,nearest,saturate,98.48,7
mem_only,,,1.0,5.0,nearest,wrap,9.61,7
mem_only,,,1.0,5.0,stochastic,saturate,98.56,7
mem_only,,,1.0,5.0,stochastic,wrap,9.85,7
mem_only,,,1.0,5.0,floor,saturate,98.52,7
mem_only,,,1.0,5.0,floor,wrap,9.78,7
mem_only,,,1.0,5.0,ceil,saturate,98.47,7
mem_only,,,1.0,5.0,ceil,wrap,9.56,7
mem_only,,,1.0,5.0,trunc,saturate,98.52,7
mem_only,,,1.0,5.0,trunc,wrap,9.8,7
mem_only,,,1.0,6.0,nearest,saturate,98.5,8
mem_only,,,1.0,6.0,nearest,wrap,10.21,8
mem_only,,,1.0,6.0,stochastic,saturate,98.61,8
mem_only,,,1.0,6.0,stochastic,wrap,9.85,8
mem_only,,,1.0,6.0,floor,saturate,98.51,8
mem_only,,,1.0,6.0,floor,wrap,9.74,8
